"date","age_group","population","population_vaccinated","population_unvaccinated"
2021 Apr,"10",67823,-1507,69330
2021 Apr,"11",68377,-620,68997
2021 Apr,"12",67547,-83,67630
2021 Apr,"13",67730,-10,67740
2021 Apr,"14",65647,62,65585
2021 Apr,"15",63080,164,62916
2021 Apr,"16",62527,299,62228
2021 Apr,"17",62800,467,62333
2021 Apr,"18",62523,661,61862
2021 Apr,"19",63117,906,62211
2021 Apr,"20",65713,1331,64382
2021 Apr,"21",66297,1628,64669
2021 Apr,"22",64897,1927,62970
2021 Apr,"23",67130,2243,64887
2021 Apr,"24",67963,2501,65462
2021 Apr,"25",70393,2693,67700
2021 Apr,"26",71793,2853,68940
2021 Apr,"27",73253,2961,70292
2021 Apr,"28",76747,3000,73747
2021 Apr,"29",79013,2984,76029
2021 Apr,"30",80173,2899,77274
2021 Apr,"31",78803,2822,75981
2021 Apr,"32",76243,2724,73519
2021 Apr,"33",75590,2627,72963
2021 Apr,"34",71890,2507,69383
2021 Apr,"35",69953,2405,67548
2021 Apr,"36",68873,2319,66554
2021 Apr,"37",68050,2234,65816
2021 Apr,"38",67407,2169,65238
2021 Apr,"39",65813,2126,63687
2021 Apr,"40",64500,2102,62398
2021 Apr,"41",63603,2088,61515
2021 Apr,"42",62287,2094,60193
2021 Apr,"43",60683,2118,58565
2021 Apr,"44",61083,2150,58933
2021 Apr,"45",60720,2198,58522
2021 Apr,"46",62843,2261,60582
2021 Apr,"47",64757,2323,62434
2021 Apr,"48",66880,2392,64488
2021 Apr,"49",68663,2471,66192
2021 Apr,"50",68700,2548,66152
2021 Apr,"51",66653,2608,64045
2021 Apr,"52",66663,2666,63997
2021 Apr,"53",64853,2705,62148
2021 Apr,"54",63507,2726,60781
2021 Apr,"55",63077,2732,60345
2021 Apr,"56",63890,2714,61176
2021 Apr,"57",65387,2678,62709
2021 Apr,"58",66360,2626,63734
2021 Apr,"59",65150,2551,62599
2021 Apr,"60",63237,2452,60785
2021 Apr,"61",60943,2347,58596
2021 Apr,"62",59583,2226,57357
2021 Apr,"63",57437,2089,55348
2021 Apr,"64",55510,1949,53561
2021 Apr,"65",53993,1800,52193
2021 Apr,"66",52303,1640,50663
2021 Apr,"67",50263,1485,48778
2021 Apr,"68",48673,1331,47342
2021 Apr,"69",47100,1174,45926
2021 Apr,"70",45603,1019,44584
2021 Apr,"71",44823,885,43938
2021 Apr,"72",43423,757,42666
2021 Apr,"73",43127,643,42484
2021 Apr,"74",41713,544,41169
2021 Apr,"75",34923,458,34465
2021 Apr,"76",32050,382,31668
2021 Apr,"77",29673,322,29351
2021 Apr,"78",26067,271,25796
2021 Apr,"79",27863,230,27633
2021 Apr,"80",26043,204,25839
2021 Apr,"81",22917,177,22740
2021 Apr,"82",20213,155,20058
2021 Apr,"83",18040,140,17900
2021 Apr,"84",15947,126,15821
2021 Apr,"85",14023,113,13910
2021 Apr,"86",12677,104,12573
2021 Apr,"87",11277,95,11182
2021 Apr,"88",9750,86,9664
2021 Apr,"89",8550,79,8471
2021 Apr,"90",7693,70,7623
