"Estimated Resident Population by Age and Sex (1991+) (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","As at","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","0 Years","1 Years","2 Years","3 Years","4 Years","5 Years","6 Years","7 Years","8 Years","9 Years","10 Years","11 Years","12 Years","13 Years","14 Years","15 Years","16 Years","17 Years","18 Years","19 Years","20 Years","21 Years","22 Years","23 Years","24 Years","25 Years","26 Years","27 Years","28 Years","29 Years","30 Years","31 Years","32 Years","33 Years","34 Years","35 Years","36 Years","37 Years","38 Years","39 Years","40 Years","41 Years","42 Years","43 Years","44 Years","45 Years","46 Years","47 Years","48 Years","49 Years","50 Years","51 Years","52 Years","53 Years","54 Years","55 Years","56 Years","57 Years","58 Years","59 Years","60 Years","61 Years","62 Years","63 Years","64 Years","65 Years","66 Years","67 Years","68 Years","69 Years","70 Years","71 Years","72 Years","73 Years","74 Years","75 Years","76 Years","77 Years","78 Years","79 Years","80 Years","81 Years","82 Years","83 Years","84 Years","85 Years","86 Years","87 Years","88 Years","89 Years","90 Years","91 Years","92 Years","93 Years","94 Years","95 Years and Over","Total All Ages"
"2000Q1",56760,55510,57450,56280,57850,58730,59440,59740,62180,63190,61290,59570,58800,56240,55680,55080,54310,54690,54230,54870,53660,51880,50280,50600,49300,51070,52420,54120,56820,57730,58420,58920,58030,58740,58850,60080,62430,64170,63680,62560,60600,59200,57520,56470,55370,53560,51880,51100,50250,49880,49400,49240,49070,48140,41470,38580,36640,34870,37440,36890,33200,31290,29890,28820,27370,26880,25920,26240,25920,26590,25450,24580,23790,23290,22320,21400,19790,18640,18070,17030,14420,12450,11370,11130,9640,9050,7540,6600,5420,4380,3530,2830,2080,1680,1260,2780,3855900
"2000Q2",56840,55300,57290,56670,57310,58640,58870,60240,61210,63060,61990,59800,58950,56600,55960,55230,54790,54440,54320,54860,53520,52250,49880,49930,48740,50020,51770,53190,56080,57960,57780,58580,58400,58630,58370,59510,62090,63430,63980,62930,60910,60160,57350,56620,55620,53770,52630,50810,50500,49640,49760,48940,49080,49310,41510,39460,37810,33880,37540,37070,34320,31340,30110,29020,27710,26730,26100,26080,25750,26470,25510,24530,24220,23050,22220,21680,19810,18680,18200,16680,15490,12300,11350,11020,9800,8970,7830,6510,5620,4340,3660,2860,2170,1660,1300,2870,3857700
"2000Q3",56860,55300,56970,56730,56990,58410,58540,60070,60760,62650,62510,60200,59420,57330,56230,55530,54900,54790,54540,55030,53570,52590,50010,49440,48620,49450,50980,52540,55430,57930,57710,58780,58260,58470,58540,59200,61230,63410,63890,63320,61400,60160,57890,56940,55970,54280,53050,50820,50690,49850,49690,48900,49080,49580,43050,40280,37800,34380,36960,37120,35210,32050,30470,29160,28240,26600,26410,25840,25650,26330,25720,24660,24080,23130,22400,21430,20250,18640,18130,16790,16430,11950,11480,10810,10030,8820,8010,6560,5730,4330,3720,2880,2190,1680,1290,2890,3864900
"2000Q4",56760,55740,56020,56810,57030,57920,58370,59950,60230,62240,62840,60880,59460,57990,56380,55540,55020,54650,55000,54550,54090,52740,50310,49050,49100,48750,50830,52310,55090,57570,57850,58770,58620,58130,58830,58810,60980,62950,63890,63280,62140,59960,58680,56940,56440,54430,53280,50850,50990,49660,49860,48820,49310,49100,45690,40890,38120,35140,36030,36980,35990,32790,30740,29540,28560,26730,26810,25600,25740,25910,26000,24660,24300,23000,22540,21430,20500,18860,17880,16840,16430,12630,11640,10610,10150,8800,8120,6610,5790,4450,3810,2840,2290,1650,1320,2970,3873100
"2001Q1",56340,56420,55220,57270,56100,57680,58530,59260,59570,61940,63130,61260,59590,58870,56430,55870,55500,54820,55300,54790,54680,52920,50500,48640,48730,47860,49990,51740,54010,57110,57910,58470,58750,57910,58710,58760,59990,62170,63910,63350,62370,60350,58970,57260,56230,55100,53190,51500,50750,49950,49550,49000,48890,48800,47900,41280,38410,36470,34670,37230,36700,33030,31050,29750,28650,27200,26700,25600,25850,25480,26070,24910,23990,23150,22570,21580,20680,18980,17800,17160,16160,13580,11630,10480,10300,8820,8180,6720,5840,4680,3740,2930,2320,1670,1320,3090,3876200
"2001Q2",55820,56520,55010,57100,56540,57200,58440,58690,60090,61050,62970,62040,59820,59010,56900,56240,55620,55360,55310,55080,54940,52950,51060,48460,48220,47340,49070,51150,53150,56530,58330,57920,58440,58300,58650,58340,59510,61880,63210,63740,62750,60690,59930,57140,56380,55330,53450,52240,50500,50160,49300,49390,48540,48790,49070,41310,39290,37660,33680,37320,36880,34170,31140,29970,28830,27530,26530,25810,25720,25340,25970,24980,23900,23580,22340,21420,20940,19080,17850,17270,15810,14550,11520,10500,10140,8920,8080,6970,5710,4870,3690,3040,2310,1710,1290,3180,3880500
"2001Q3",55480,56720,55140,56840,56670,57030,58380,58500,60100,60800,62700,62710,60290,59510,57620,56600,56140,55660,56010,55630,55490,53320,51740,49000,48180,47580,48800,50530,52660,56010,58490,57970,58800,58300,58560,58690,59330,61290,63350,63850,63250,61320,60010,57810,56840,55850,54080,52780,50560,50390,49550,49420,48550,48760,49340,42890,40130,37650,34240,36790,36890,35080,31880,30270,28950,28020,26370,26090,25480,25240,25790,25190,24020,23430,22420,21650,20640,19510,17770,17210,15900,15400,11160,10590,9920,9040,7930,7070,5670,4920,3670,3110,2310,1720,1280,3120,3895400
