"Estimated Resident Population (Mean Quarter Ended) by Sex (1991+) (Qrtly-Mar/Jun/Sep/Dec)",""
"","Total"
"2010Q1",4338900
"2010Q2",4348200
"2010Q3",4356700
"2010Q4",4368300
"2011Q1",4378200
"2011Q2",4383200
"2011Q3",4388000
"2011Q4",4395700
"2012Q1",4402900
"2012Q2",4407300
"2012Q3",4411800
"2012Q4",4420700
"2013Q1",4430900
"2013Q2",4439000
"2013Q3",4450000
"2013Q4",4467600
"2014Q1",4489200
"2014Q2",4508800
"2014Q3",4528400
"2014Q4",4552300
"2015Q1",4578100
"2015Q2",4600600
"2015Q3",4622800
"2015Q4",4650000
"2016Q1",4679400
"2016Q2",4704600
"2016Q3",4727700
"2016Q4",4754400
"2017Q1",4782200
"2017Q2",4805200
"2017Q3",4824900
"2017Q4",4847900
"2018Q1",4872800
"2018Q2",4893400
"2018Q3",4911000
"2018Q4",4931200
"2019Q1",4953300
"2019Q2",4972300
"2019Q3",4993100
"2019Q4",5023700
"2020Q1",5061600
"2020Q2",5086500
"2020Q3",5094500
"2020Q4",5101200
"2021Q1",5105800
"2021Q2",5109600
"2021Q3",5113200
"2021Q4",5115700
"2022Q1",5115700
"2022Q2",5116000
"2022Q3",5124100
"2022Q4",5145900
"2023Q1",5182100
"2023Q2",5221400
"2023Q3",5259500
"2023Q4",5292700
"Table information:"
"Units:"
"Number, Magnitude = Units"
""
"Footnotes:"
"Population estimates include the latest migration estimates published in the same month."
"All population estimates at 30 June 2018 and beyond use the 2018-base ERP."
"The current population estimates are based on 2018 Census data. The 2023-based estimated resident population will be published following the release of 2023 Census and 2023 Post-enumeration Survey results."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"DPE059AA"
""
"Last updated:"
"16 February 2024 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
