"Month and year of death (Monthly)",""
"","Total Both Sexes"
"2010M01",2229
"2010M02",1908
"2010M03",2259
"2010M04",2280
"2010M05",2415
"2010M06",2451
"2010M07",2700
"2010M08",2709
"2010M09",2454
"2010M10",2484
"2010M11",2238
"2010M12",2382
"2011M01",2352
"2011M02",2283
"2011M03",2370
"2011M04",2400
"2011M05",2529
"2011M06",2430
"2011M07",2748
"2011M08",2868
"2011M09",2730
"2011M10",2601
"2011M11",2436
"2011M12",2421
"2012M01",2319
"2012M02",2124
"2012M03",2316
"2012M04",2298
"2012M05",2490
"2012M06",2601
"2012M07",2973
"2012M08",2871
"2012M09",2697
"2012M10",2595
"2012M11",2418
"2012M12",2397
"2013M01",2412
"2013M02",2007
"2013M03",2376
"2013M04",2370
"2013M05",2481
"2013M06",2484
"2013M07",2766
"2013M08",2703
"2013M09",2679
"2013M10",2481
"2013M11",2367
"2013M12",2259
"2014M01",2322
"2014M02",2160
"2014M03",2346
"2014M04",2295
"2014M05",2691
"2014M06",2658
"2014M07",2955
"2014M08",2925
"2014M09",2841
"2014M10",2694
"2014M11",2550
"2014M12",2541
"2015M01",2514
"2015M02",2262
"2015M03",2457
"2015M04",2445
"2015M05",2619
"2015M06",2676
"2015M07",3084
"2015M08",3063
"2015M09",2838
"2015M10",2682
"2015M11",2493
"2015M12",2511
"2016M01",2409
"2016M02",2226
"2016M03",2310
"2016M04",2424
"2016M05",2664
"2016M06",2667
"2016M07",2940
"2016M08",2997
"2016M09",2787
"2016M10",2754
"2016M11",2538
"2016M12",2586
"2017M01",2547
"2017M02",2289
"2017M03",2589
"2017M04",2535
"2017M05",2850
"2017M06",2967
"2017M07",3429
"2017M08",3405
"2017M09",2907
"2017M10",2775
"2017M11",2565
"2017M12",2634
"2018M01",2658
"2018M02",2292
"2018M03",2655
"2018M04",2655
"2018M05",2820
"2018M06",2886
"2018M07",3018
"2018M08",3153
"2018M09",2859
"2018M10",2850
"2018M11",2625
"2018M12",2604
"2019M01",2652
"2019M02",2241
"2019M03",2820
"2019M04",2766
"2019M05",2979
"2019M06",3129
"2019M07",3336
"2019M08",3129
"2019M09",2907
"2019M10",2853
"2019M11",2652
"2019M12",2565
"2020M01",2700
"2020M02",2496
"2020M03",2700
"2020M04",2694
"2020M05",2721
"2020M06",2697
"2020M07",2925
"2020M08",2817
"2020M09",2664
"2020M10",2784
"2020M11",2649
"2020M12",2868
"2021M01",2871
"2021M02",2475
"2021M03",2832
"2021M04",2769
"2021M05",2937
"2021M06",2967
"2021M07",3288
"2021M08",3342
"2021M09",2928
"2021M10",2883
"2021M11",2799
"2021M12",2856
"2022M01",2871
"2022M02",2628
"2022M03",3264
"2022M04",3138
"2022M05",3417
"2022M06",3501
"2022M07",3918
"2022M08",3525
"2022M09",3174
"2022M10",3207
"2022M11",2979
"2022M12",3135
"2023M01",3081
"2023M02",2664
"2023M03",2979
"2023M04",3012
"2023M05",3207
"2023M06",3225
"Table information:"
"Units:"
"Number, Magnitude = Units"
""
"Footnotes:"
"Deaths data are based on deaths registered in New Zealand to people resident in New Zealand by date of death (not date of registration). Data from 1990 are subject to revision."
"Data has been randomly rounded to protect confidentiality. Individual figures may not add up to totals, and values for the same data may vary in different tables."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"VSD022AA"
""
"Last updated:"
"16 November 2023 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
