"Week";"2019/2020";"2020/2021";"2021/2022";"2022/2023";"2023/2024"
"40";;345;185;1717;597
"41";;520;274;1590;574
"42";;491;440;1724;598
"43";;562;450;1266;820
"44";;589;522;1081;1096
"45";;395;889;759;1130
"46";;467;1122;974;1456
"47";;282;1162;1030;1743
"48";;229;816;1078;2269
"49";;255;868;1150;3713
"50";;316;907;1712;4176
"51";;376;679;2291;4343
"52";;384;712;1974;2686
"1";;337;784;1042;1555
"2";;348;795;699;868
"3";;378;1303;439;617
"4";;319;1645;455;630
"5";;238;2063;706;487
"6";;228;1719;748;354
"7";;377;1541;1136;207
"8";;206;1088;1718;144
"9";;215;1891;2116;94
"10";;219;2428;2134;133
"11";;180;2310;1597;105
"12";;251;1690;1784;83
"13";;237;1447;1238;114
"14";317;283;1237;924;72
"15";260;273;686;963;
"16";137;295;496;620;
"17";143;272;325;572;
"18";67;275;345;537;
"19";49;224;291;341;
"20";36;200;300;176;
"21";54;178;274;163;
"22";40;135;461;140;
"23";33;61;642;109;
"24";30;50;950;75;
"25";17;49;1204;63;
"26";14;51;1600;49;
"27";13;206;1565;59;
"28";10;510;1839;79;
"29";13;387;1645;99;
"30";39;256;1094;157;
"31";143;398;841;206;
"32";78;400;569;321;
"33";99;547;565;266;
"34";97;533;517;356;
"35";46;222;540;415;
"36";95;145;659;467;
"37";77;121;662;446;
"38";87;71;817;486;
"39";178;83;1415;518;
