"iso3c", "jurisdiction","id"
"USA-AK","Alaska","02"
"USA-AL","Alabama","01"
"USA-AZ","Arizona","04"
"USA-AR","Arkansas","05"
"USA-CA","California","06"
"USA-CO","Colorado","08"
"USA-CT","Connecticut","09"
"USA-DE","Delaware","10"
"USA-FL","Florida","12"
"USA-GA","Georgia","13"
"USA-HI","Hawaii","15"
"USA-ID","Idaho","16"
"USA-IL","Illinois","17"
"USA-IN","Indiana","18"
"USA-IA","Iowa","19"
"USA-KS","Kansas","20"
"USA-KY","Kentucky","21"
"USA-LA","Louisiana","22"
"USA-ME","Maine","23"
"USA-MD","Maryland","24"
"USA-MA","Massachusetts","25"
"USA-MI","Michigan","26"
"USA-MN","Minnesota","27"
"USA-MS","Mississippi","28"
"USA-MO","Missouri","29"
"USA-MT","Montana","30"
"USA-NE","Nebraska","31"
"USA-NV","Nevada","32"
"USA-NH","New Hampshire","33"
"USA-NJ","New Jersey","34"
"USA-NM","New Mexico","35"
"USA-NY","New York","36"
"USA-NY-NYC","New York City",NA
"USA-NC","North Carolina","37"
"USA-ND","North Dakota","38"
"USA-OH","Ohio","39"
"USA-OK","Oklahoma","40"
"USA-OR","Oregon","41"
"USA-PA","Pennsylvania","42"
"USA-RI","Rhode Island","44"
"USA-SC","South Carolina","45"
"USA-SD","South Dakota","46"
"USA-TN","Tennessee","47"
"USA-TX","Texas","48"
"USA-UT","Utah","49"
"USA-VT","Vermont","50"
"USA-VA","Virginia","51"
"USA-WA","Washington","53"
"USA-WV","West Virginia","54"
"USA-WI","Wisconsin","55"
"USA-WY","Wyoming","56"
"USA-DC","District of Columbia","11"
"USA-AS","American Samoa",NA
"USA-GU","Guam",NA
"USA-MP","Northern Mariana Islands",NA
"USA-PR","Puerto Rico",NA
"USA-UM","United States Minor Outlying Islands",NA
"USA-VI","Virgin Islands, U.S.",NA
"USA","United States","all"
