"Notes","State","State Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"Alabama","01","< 1 year","1",606,58787,1030.8
,"Alabama","01","1-4 years","1-4",121,236153,51.2
,"Alabama","01","5-9 years","5-9",86,315749,27.2
,"Alabama","01","10-14 years","10-14",98,317379,30.9
,"Alabama","01","15-19 years","15-19",338,327789,103.1
,"Alabama","01","20-24 years","20-24",414,306182,135.2
,"Alabama","01","25-29 years","25-29",407,307028,132.6
,"Alabama","01","30-34 years","30-34",486,301295,161.3
,"Alabama","01","35-39 years","35-39",736,342932,214.6
,"Alabama","01","40-44 years","40-44",1151,344000,334.6
,"Alabama","01","45-49 years","45-49",1392,309892,449.2
,"Alabama","01","50-54 years","50-54",1765,275759,640.1
,"Alabama","01","55-59 years","55-59",2204,220728,998.5
,"Alabama","01","60-64 years ","60-64",2837,189814,1494.6
,"Alabama","01","65-69 years","65-69",3833,167363,2290.2
,"Alabama","01","70-74 years","70-74",5011,148565,3372.9
,"Alabama","01","75-79 years","75-79",6258,117897,5308.0
,"Alabama","01","80-84 years","80-84",6214,76876,8083.1
,"Alabama","01","85-89 years","85-89",5715,Not Applicable,Not Applicable
,"Alabama","01","90-94 years","90-94",3500,Not Applicable,Not Applicable
,"Alabama","01","95-99 years","95-99",1319,Not Applicable,Not Applicable
,"Alabama","01","100+ years","100+",315,Not Applicable,Not Applicable
,"Alabama","01","Not Stated","NS",0,Not Applicable,Not Applicable
,"Alaska","02","< 1 year","1",57,9265,615.2
,"Alaska","02","1-4 years","1-4",17,38671,Unreliable
,"Alaska","02","5-9 years","5-9",11,55181,Unreliable
,"Alaska","02","10-14 years","10-14",Suppressed,55877,Suppressed
,"Alaska","02","15-19 years","15-19",54,49732,108.6
,"Alaska","02","20-24 years","20-24",42,39451,106.5
,"Alaska","02","25-29 years","25-29",64,41687,153.5
,"Alaska","02","30-34 years","30-34",74,48329,153.1
,"Alaska","02","35-39 years","35-39",105,57719,181.9
,"Alaska","02","40-44 years","40-44",123,59162,207.9
,"Alaska","02","45-49 years","45-49",148,52540,281.7
,"Alaska","02","50-54 years","50-54",162,39580,409.3
,"Alaska","02","55-59 years","55-59",195,26381,739.2
,"Alaska","02","60-64 years ","60-64",198,16960,1167.5
,"Alaska","02","65-69 years","65-69",236,12219,1931.4
,"Alaska","02","70-74 years","70-74",305,9512,3206.5
,"Alaska","02","75-79 years","75-79",300,6525,4597.7
,"Alaska","02","80-84 years","80-84",266,3527,7541.8
,"Alaska","02","85-89 years","85-89",196,Not Applicable,Not Applicable
,"Alaska","02","90-94 years","90-94",116,Not Applicable,Not Applicable
,"Alaska","02","95-99 years","95-99",28,Not Applicable,Not Applicable
,"Alaska","02","100+ years","100+",Suppressed,Not Applicable,Not Applicable
,"Alaska","02","Not Stated","NS",0,Not Applicable,Not Applicable
,"Arizona","04","< 1 year","1",548,77506,707.0
,"Arizona","04","1-4 years","1-4",108,298582,36.2
,"Arizona","04","5-9 years","5-9",54,380471,14.2
,"Arizona","04","10-14 years","10-14",81,364017,22.3
,"Arizona","04","15-19 years","15-19",269,359836,74.8
,"Arizona","04","20-24 years","20-24",371,350911,105.7
,"Arizona","04","25-29 years","25-29",380,371429,102.3
,"Arizona","04","30-34 years","30-34",477,367109,129.9
,"Arizona","04","35-39 years","35-39",721,393281,183.3
,"Arizona","04","40-44 years","40-44",961,368155,261.0
,"Arizona","04","45-49 years","45-49",1218,322567,377.6
,"Arizona","04","50-54 years","50-54",1442,282200,511.0
,"Arizona","04","55-59 years","55-59",1780,229310,776.2
,"Arizona","04","60-64 years ","60-64",2341,198437,1179.7
,"Arizona","04","65-69 years","65-69",3263,188248,1733.4
,"Arizona","04","70-74 years","70-74",4568,174466,2618.3
,"Arizona","04","75-79 years","75-79",5789,141816,4082.0
,"Arizona","04","80-84 years","80-84",6135,89282,6871.5
,"Arizona","04","85-89 years","85-89",5150,Not Applicable,Not Applicable
,"Arizona","04","90-94 years","90-94",3109,Not Applicable,Not Applicable
,"Arizona","04","95-99 years","95-99",1014,Not Applicable,Not Applicable
,"Arizona","04","100+ years","100+",230,Not Applicable,Not Applicable
,"Arizona","04","Not Stated","NS",41,Not Applicable,Not Applicable
,"Arkansas","05","< 1 year","1",292,35851,814.5
,"Arkansas","05","1-4 years","1-4",63,145276,43.4
,"Arkansas","05","5-9 years","5-9",43,188127,22.9
,"Arkansas","05","10-14 years","10-14",66,193029,34.2
,"Arkansas","05","15-19 years","15-19",175,200122,87.4
,"Arkansas","05","20-24 years","20-24",219,179622,121.9
,"Arkansas","05","25-29 years","25-29",210,176338,119.1
,"Arkansas","05","30-34 years","30-34",261,174957,149.2
,"Arkansas","05","35-39 years","35-39",393,199896,196.6
,"Arkansas","05","40-44 years","40-44",575,194986,294.9
,"Arkansas","05","45-49 years","45-49",761,178341,426.7
,"Arkansas","05","50-54 years","50-54",973,161702,601.7
,"Arkansas","05","55-59 years","55-59",1283,135264,948.5
,"Arkansas","05","60-64 years ","60-64",1648,115753,1423.7
,"Arkansas","05","65-69 years","65-69",2263,104761,2160.2
,"Arkansas","05","70-74 years","70-74",3132,93175,3361.4
,"Arkansas","05","75-79 years","75-79",3893,76333,5100.0
,"Arkansas","05","80-84 years","80-84",4197,52465,7999.6
,"Arkansas","05","85-89 years","85-89",3860,Not Applicable,Not Applicable
,"Arkansas","05","90-94 years","90-94",2492,Not Applicable,Not Applicable
,"Arkansas","05","95-99 years","95-99",963,Not Applicable,Not Applicable
,"Arkansas","05","100+ years","100+",161,Not Applicable,Not Applicable
,"Arkansas","05","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"California","06","< 1 year","1",2800,485647,576.6
,"California","06","1-4 years","1-4",602,2026500,29.7
,"California","06","5-9 years","5-9",364,2748888,13.2
,"California","06","10-14 years","10-14",447,2497890,17.9
,"California","06","15-19 years","15-19",1320,2403117,54.9
,"California","06","20-24 years","20-24",1782,2303169,77.4
